Total runtime (s),Hits channel 1,Hits channel 2,Lifetimes (ns),Delta times (ns),Total coincidences
21035.660972,187066.0,131601.0,4610.0,-5.0,4074.0
,,,330.0,-0.5,
,,,360.0,-4.0,
,,,2350.0,4.5,
,,,400.0,-1.5,
,,,3460.0,-3.0,
,,,290.0,4.5,
,,,3820.0,-7.0,
,,,340.0,-5.5,
,,,350.0,-4.0,
,,,1120.0,-7.5,
,,,340.0,0.5,
,,,1440.0,3.5,
,,,350.0,-0.5,
,,,150.0,-3.0,
,,,1070.0,-10.0,
,,,5270.0,6.0,
,,,900.0,0.5,
,,,4200.0,-0.5,
,,,350.0,4.5,
,,,2930.0,-0.5,
,,,410.0,0.0,
,,,8230.0,-2.0,
,,,380.0,-1.5,
,,,350.0,-4.0,
,,,340.0,-1.0,
,,,3180.0,-0.5,
,,,750.0,-3.5,
,,,340.0,-11.0,
,,,350.0,-3.5,
,,,1620.0,0.0,
,,,230.0,-2.5,
,,,1100.0,1.0,
,,,3170.0,5.0,
,,,2140.0,-3.5,
,,,230.0,0.5,
,,,530.0,-2.0,
,,,340.0,5.0,
,,,350.0,1.5,
,,,350.0,-3.0,
,,,790.0,-4.0,
,,,810.0,0.0,
,,,10140.0,-1.0,
,,,2300.0,-8.5,
,,,610.0,-4.5,
,,,500.0,0.0,
,,,3070.0,-1.5,
,,,340.0,0.0,
,,,1190.0,0.5,
,,,4210.0,-4.0,
,,,2580.0,-2.0,
,,,330.0,-2.5,
,,,350.0,1.0,
,,,7660.0,2.5,
,,,6560.0,-8.0,
,,,350.0,1.0,
,,,1560.0,0.5,
,,,2630.0,0.0,
,,,620.0,4.0,
,,,3610.0,-6.0,
,,,3020.0,-3.5,
,,,340.0,-1.0,
,,,11910.0,0.0,
,,,350.0,-6.0,
,,,840.0,-3.0,
,,,10450.0,-3.5,
,,,1860.0,0.5,
,,,6150.0,1.0,
,,,1230.0,-0.5,
,,,7050.0,0.5,
,,,340.0,-7.5,
,,,2020.0,0.0,
,,,330.0,-9.0,
,,,2350.0,-1.0,
,,,2320.0,-0.5,
,,,350.0,-0.5,
,,,850.0,4.0,
,,,13460.0,2.5,
,,,340.0,-1.0,
,,,340.0,-0.5,
,,,350.0,-1.5,
,,,1070.0,-3.0,
,,,340.0,-1.0,
,,,840.0,0.0,
,,,340.0,-4.0,
,,,650.0,-0.5,
,,,19390.0,-6.5,
,,,540.0,-0.5,
,,,300.0,-1.5,
,,,1200.0,-0.5,
,,,2520.0,-1.5,
,,,2240.0,1.0,
,,,5410.0,-1.5,
,,,2640.0,2.0,
,,,340.0,-4.0,
,,,1040.0,1.5,
,,,200.0,-2.5,
,,,340.0,-1.5,
,,,1710.0,6.0,
,,,850.0,-1.5,
,,,3610.0,0.5,
,,,1870.0,-1.0,
,,,340.0,-5.0,
,,,350.0,-6.5,
,,,350.0,-3.5,
,,,350.0,-1.0,
,,,340.0,1.0,
,,,340.0,7.5,
,,,2170.0,-7.0,
,,,15050.0,-0.5,
,,,10050.0,-5.5,
,,,350.0,-3.5,
,,,280.0,-1.5,
,,,2890.0,-3.5,
,,,7310.0,0.0,
,,,1780.0,-4.0,
,,,330.0,-4.0,
,,,1610.0,-2.5,
,,,1670.0,-0.5,
,,,500.0,-2.0,
,,,380.0,-1.0,
,,,350.0,-1.0,
,,,7640.0,-1.0,
,,,500.0,-2.0,
,,,5060.0,-2.0,
,,,2590.0,-3.0,
,,,18740.0,-2.0,
,,,17090.0,0.5,
,,,360.0,3.5,
,,,360.0,-5.5,
,,,6550.0,-0.5,
,,,120.0,-3.0,
,,,370.0,-1.0,
,,,19220.0,-3.0,
,,,3020.0,-2.0,
,,,4390.0,5.5,
,,,2050.0,-6.0,
,,,350.0,0.5,
,,,9770.0,1.5,
,,,3170.0,0.5,
,,,5930.0,-0.5,
,,,4810.0,-6.5,
,,,1410.0,5.5,
,,,6100.0,1.5,
,,,16580.0,-3.0,
,,,320.0,-4.0,
,,,1320.0,-6.0,
,,,340.0,1.0,
,,,1290.0,6.0,
,,,3940.0,0.5,
,,,1130.0,-4.0,
,,,3220.0,0.0,
,,,2040.0,-1.5,
,,,670.0,-7.0,
,,,4440.0,-4.0,
,,,4510.0,-2.0,
,,,340.0,3.0,
,,,2620.0,2.5,
,,,3350.0,1.5,
,,,340.0,-6.0,
,,,16380.0,2.0,
,,,6230.0,-4.5,
,,,1340.0,-0.5,
,,,340.0,1.0,
,,,3130.0,-6.5,
,,,3590.0,-2.5,
,,,350.0,1.5,
,,,2350.0,0.0,
,,,560.0,-3.0,
,,,1440.0,5.0,
,,,350.0,2.5,
,,,340.0,-0.5,
,,,3340.0,1.0,
,,,350.0,0.0,
,,,660.0,-4.0,
,,,1610.0,-1.0,
