Total runtime (s),Hits channel 1,Hits channel 2,Lifetimes (ns),Delta times (ns),Total coincidences
158626.0823,663203,592659,900,0,17100
,,,18430,-1.5,
,,,10840,0,
,,,340,-3,
,,,730,-0.5,
,,,12660,-1.5,
,,,5390,-2.5,
,,,1200,-1,
,,,680,-2,
,,,1300,2.5,
,,,570,-1,
,,,5030,-6.5,
,,,1810,-0.5,
,,,1090,1,
,,,2780,-2.5,
,,,2000,3.5,
,,,6920,0.5,
,,,680,-1.5,
,,,7640,7,
,,,4210,-3,
,,,2420,-6,
,,,9250,-2.5,
,,,600,0,
,,,2410,-6.5,
,,,1640,-0.5,
,,,300,5,
,,,4840,-2.5,
,,,130,3.5,
,,,1540,-5.5,
,,,290,6,
,,,590,-0.5,
,,,1230,0,
,,,1500,2.5,
,,,220,-1,
,,,760,1.5,
,,,1140,4,
,,,480,1,
,,,1510,0,
,,,890,-4,
,,,3780,-8.5,
,,,1570,-5.5,
,,,1670,3.5,
,,,1590,0.5,
,,,310,-1.5,
,,,1300,-1.5,
,,,250,-1,
,,,190,0,
,,,1260,-3,
,,,2410,-3.5,
,,,3480,4.5,
,,,210,0.5,
,,,2530,-3,
,,,5540,-2,
,,,1360,1,
,,,1600,7.5,
,,,340,-4,
,,,1230,0.5,
,,,1000,0.5,
,,,470,1.5,
,,,3120,-3.5,
,,,2270,0.5,
,,,540,3.5,
,,,1410,-1,
,,,310,-3.5,
,,,900,-0.5,
,,,2050,0,
,,,1610,-1,
,,,450,0,
,,,6430,-5.5,
,,,740,2,
,,,720,-2,
,,,3320,-7.5,
,,,710,0,
,,,1950,-3,
,,,860,-5.5,
,,,460,-2.5,
,,,180,2.5,
,,,1200,-2.5,
,,,430,2.5,
,,,1770,3,
,,,320,-1,
,,,5120,-1.5,
,,,390,-4,
,,,9330,-2.5,
,,,1920,-3,
,,,1640,-2,
,,,3080,-0.5,
,,,1140,-2.5,
,,,19490,1,
,,,4840,0,
,,,1070,-3.5,
,,,5990,6.5,
,,,590,-1.5,
,,,7140,3.5,
,,,2390,-3,
,,,9590,6,
,,,2740,-9.5,
,,,1580,1,
,,,5740,-3.5,
,,,400,-7.5,
,,,3220,-1,
,,,280,-4.5,
,,,470,-1.5,
,,,13890,-5.5,
,,,2740,-5,
,,,1810,-3.5,
,,,3800,-8.5,
,,,2120,0,
,,,5930,-1,
,,,4800,-8,
,,,630,-3,
,,,340,-6,
,,,1480,-0.5,
,,,1460,-1.5,
,,,3070,4,
,,,1350,-4.5,
,,,13060,-5.5,
,,,3530,-4,
,,,190,1.5,
,,,3810,2.5,
,,,1170,-3.5,
,,,1750,0,
,,,810,0,
,,,280,-2.5,
,,,1310,-5,
,,,460,0.5,
,,,3880,-3,
,,,540,-1,
,,,2060,-4.5,
,,,9220,-4.5,
,,,2000,-2.5,
,,,2580,-3,
,,,240,-4,
,,,700,2.5,
,,,1110,3,
,,,4920,-4.5,
,,,140,2,
,,,200,-6,
,,,1330,-8,
,,,130,230,
,,,1690,0,
,,,560,2,
,,,2170,0,
,,,1400,-4,
,,,3050,-3,
,,,710,-3.5,
,,,5080,-1.5,
,,,1420,-4.5,
,,,3140,5,
,,,570,1,
,,,3270,-1,
,,,1980,-5,
,,,590,-2.5,
,,,3120,-4,
,,,1610,3.5,
,,,430,-6,
,,,4420,-1,
,,,1850,-4.5,
,,,180,1.5,
,,,1360,-4.5,
,,,1370,0,
,,,640,-4.5,
,,,1200,-2.5,
,,,1070,-2,
,,,690,-4,
,,,6290,-1.5,
,,,830,-4.5,
,,,690,0,
,,,2980,-4.5,
,,,780,5.5,
,,,1130,2,
,,,1880,0,
,,,2460,-6,
,,,160,-4.5,
